License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,Entity Name,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Primary Contact Name,Email
OCM-MICR-24-000160,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMMICR-2023-000338,Silver Fin Lodge Inc,17801 County Highway 17,,Roscoe,NY,12776,Sullivan,Mid-Hudson,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_COMBINATION,Type 1 - Extracting,Alexander Dimitrov,bgwine@gmail.com
OCM-MICR-24-000158,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMMICR-2023-000784,"Smoking Duck, LLC",,,,,,Suffolk,Long Island,,Active,"Adult-Use Cultivation, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Jennifer Digney-Bihm,jlsbihm@optonline.net
OCM-PROC-24-000103,Adult-Use Processor License,OCMPROC,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMPROC-2023-000134,Snowbelt Gardens LLC,,,,,,Chautauqua,Western NY,https://www.snowbeltcannabis.com/,Active,Adult-Use Processing,,Type 1 - Extracting,Ashley Baron,snowbeltgardens@gmail.com
OCM-MICR-24-000162,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/12/2024 0:00,9/12/2024 0:00,9/12/2026 0:00,OCMMICR-2023-000292,The Releaf Market LLC,,,,,,Chautauqua,Western NY,,Active,"Adult-Use Cultivation, Adult-Use Processing",MICROBUS_COMBINATION,Type 1 - Extracting,Kerry Trammel,info@thereleafmarket.com
OCM-MICR-24-000151,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/11/2024 0:00,9/11/2024 0:00,9/11/2026 0:00,OCMMICR-2023-000449,Kaaterskill Cannabis LLC,,,,,,Ulster,Mid-Hudson,kaaterskillcanna.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Wyatt Garratt,wyattkurt8@gmail.com
OCM-PROC-24-000087,Adult-Use Processor License,OCMPROC,Active,LICACT,8/19/2024 0:00,8/19/2024 0:00,8/19/2026 0:00,OCMPROC-2023-000106,Catskill Food Company LLC,,,,,,Delaware,Southern Tier,catskillfoodcompany.com,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Jonah Shaw,info@catskillfoodcompany.com
OCM-MICR-24-000143,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,8/12/2024 0:00,8/12/2024 0:00,8/12/2026 0:00,OCMMICR-2023-000213,Taliaferro Farm Store LLC,7536 N Broadway,,Red Hook,NY,12571,Dutchess,Mid-Hudson,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_MIXED,Type 1 - Extracting,Erin Moylan,taliaferrofarms@gmail.com
OCM-MICR-24-000122,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,7/15/2024 0:00,7/15/2024 0:00,7/15/2026 0:00,OCMMICR-2023-000399,Hudson Valley Cannabis Club LLC,,,,,,Orange,Mid-Hudson,www.HybridTheoryNY.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 1 - Extracting,Michael Zayas,info@hybridtheoryny.com
OCM-MICR-24-000112,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,7/12/2024 0:00,7/12/2024 0:00,7/12/2026 0:00,OCMMICR-2023-000934,Karker Hess and Davis LLC,,,,,,Montgomery,Mohawk Valley,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 2 - Infusing and Blending,Jacob Karker,karkerhessanddavisllc@gmail.com
OCM-PROC-24-000055,Adult-Use Processor License,OCMPROC,Active,LICACT,6/28/2024 0:00,6/28/2024 0:00,6/28/2026 0:00,OCMPROC-2023-000129,pioneer plant tech,,,,,,Oneida,Mohawk Valley,,Active,Adult-Use Processing,,Type 1 - Extracting,James Knuth ,james95.knuth@gmail.com
OCM-MICR-24-000105,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/21/2024 0:00,6/21/2024 0:00,6/21/2026 0:00,OCMMICR-2023-000114,Nautical Blaze LLC,2079 Leicester Rd,,Leicester,NY,14481,Livingston,Finger Lakes,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,Type 1 - Extracting,Jeremy Cobin ,jeremy@nauticalblaze.com
OCM-PROC-24-000047,Adult-Use Processor License,OCMPROC,Active,LICACT,6/17/2024 0:00,6/17/2024 0:00,6/17/2026 0:00,OCMPROC-2023-000110,Omnium Health Inc.,,,,,,Suffolk,Long Island,www.omniumcanna.com,Active,Adult-Use Processing,,Type 1 - Extracting,Howard Hoffman ,support@omniumventures.com
OCM-MICR-24-000092,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/14/2024 0:00,6/14/2024 0:00,6/14/2026 0:00,OCMMICR-2023-000546,Agricultural Development Services LLC,,,,,,Livingston,Finger Lakes,,Non-Operational,Adult-Use Cultivation,MICROBUS_OUTDOOR,Type 2 - Infusing and Blending,Christine Wildman,cwildman@agrinetix.com
OCM-MICR-24-000093,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/14/2024 0:00,6/14/2024 0:00,6/14/2026 0:00,OCMMICR-2023-000512,Oak Queens LLC,,,,,,Ulster,Mid-Hudson,,Non-Operational,Adult-Use Cultivation,MICROBUS_OUTDOOR,Type 1 - Extracting,Jens Verhaegh,Deercreekcollective@gmail.com
OCM-MICR-24-000067,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/29/2024 0:00,5/29/2024 0:00,5/29/2026 0:00,OCMMICR-2023-000198,Back To The Land Herbs llc,,,,,,St Lawrence,North Country,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Robert Washo,littlegrasse@gmail.com
OCM-PROC-24-000029,Adult-Use Processor License,OCMPROC,Active,LICACT,5/15/2024 0:00,5/15/2024 0:00,5/15/2026 0:00,OCMPROC-2023-000159,ReliefLeaf LLC,,,,,,Schenectady,Capital District,,Active,Adult-Use Processing,,Type 1 - Extracting,David Nesheiwat,dj.nesheiwat@gmail.com
OCM-PROC-24-000030,Adult-Use Processor License,OCMPROC,Active,LICACT,5/15/2024 0:00,5/15/2024 0:00,5/15/2026 0:00,OCMPROC-2023-000194,SJR Horticulture LLC,,,,,,Niagara,Western NY,,Active,Adult-Use Processing,,Type 1 - Extracting,Eric Steenstra,info@skyworldcannabis.com
OCM-MICR-24-000072,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/13/2024 0:00,5/13/2024 0:00,5/13/2026 0:00,OCMMICR-2023-000532,Forest Flower LLC,,,,,,Ontario,Finger Lakes,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,Type 1 - Extracting,Cody Koch,info@forestflowercannabis.com
OCM-MICR-24-000074,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/13/2024 0:00,5/13/2024 0:00,5/13/2026 0:00,OCMMICR-2023-000490,"Goldfinch Flora, LLC",2388 County Highway 107,,Amsterdam,NY,12010,Fulton,Mohawk Valley,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_COMBINATION,Type 1 - Extracting,Rosemary Fera,fera.rose@gmail.com
OCM-MICR-24-000062,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/7/2024 0:00,5/7/2024 0:00,5/7/2026 0:00,OCMMICR-2023-000044,Muckland LLC,42 Garden Ln,,Pine Island,NY,10969,Orange,Mid-Hudson,www.mucklandcannabis.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Colleen Dougherty ,colleendougherty@mac.com
OCM-MICR-24-000060,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/1/2024 0:00,5/1/2024 0:00,5/1/2026 0:00,OCMMICR-2023-000166,Pantheon Perspective LLC,2035 West Road,,Leyden,NY,13309,Lewis,North Country,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_MIXED,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Tyme Ferris,tferris@ourpantheon.co
OCM-MICR-24-000059,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/1/2024 0:00,5/1/2024 0:00,5/1/2026 0:00,OCMMICR-2023-000542,Sanctuary Gardens LLC,,,,,,Montgomery,Mohawk Valley,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 1 - Extracting,Joshua McNary,thesanctuarygardens@gmail.com
OCM-MICR-24-000053,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/16/2024 0:00,4/16/2024 0:00,4/16/2026 0:00,OCMMICR-2023-000352,Amsterdam Farms LLC,,,,,,Schoharie,Mohawk Valley,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,Type 1 - Extracting,Alan Amsterdam,alan@capitolhemp.com
OCM-MICR-24-000050,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/16/2024 0:00,4/16/2024 0:00,4/16/2026 0:00,OCMMICR-2023-000131,VJ Farms LLC,,,,,,Columbia,Capital District,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,Type 2 - Infusing and Blending,Benjamin Weiner,ben.weiner@valleyjane.com
OCM-MICR-24-000082,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/12/2024 0:00,4/12/2024 0:00,4/12/2026 0:00,OCMMICR-2023-000184,BLACK PHEASANT FARM LLC,,,,,,Dutchess,Mid-Hudson,www.BPFarm.net,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_OUTDOOR,Type 1 - Extracting,Andrew Maggio,AndrewJMaggio@gmail.com
OCM-MICR-24-000069,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/12/2024 0:00,4/12/2024 0:00,4/12/2026 0:00,OCMMICR-2023-000621,Greenleaf Cannabis LLC,356 W 40th St,,New York,NY,10018,New York,Manhattan,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,Type 1 - Extracting,Roland Joobeen,sales@greenleafnewyork.com
OCM-MICR-24-000080,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/12/2024 0:00,4/12/2024 0:00,4/12/2026 0:00,OCMMICR-2023-000284,Mountain Growers LLC,,,,,,Columbia,Capital District,breyerscannabis.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 1 - Extracting,Peter Breyer,info@breyerscannabis.com
OCM-MICR-24-000079,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/12/2024 0:00,4/12/2024 0:00,4/12/2026 0:00,OCMMICR-2023-000312,Yager Farms Inc,,,,,,Erie,Western NY,,Active,Adult-Use Cultivation,MICROBUS_COMBINATION,Type 1 - Extracting,Michael Yager,mtyager@hotmail.com
OCM-MICR-24-000086,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/11/2024 0:00,4/11/2024 0:00,4/11/2026 0:00,OCMMICR-2023-000017,Buzzsaw Cannabis Company LLC,,,,,,Orange,Mid-Hudson,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,Type 1 - Extracting,Darren White,info@buzzsawcannabis.com
OCM-MICR-24-000042,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/8/2024 0:00,4/8/2024 0:00,4/8/2026 0:00,OCMMICR-2023-000567,Hi Intentions L.L.C.,,,,,,Kings,Brooklyn,,Active,"Adult-Use Cultivation, Adult-Use Processing",MICROBUS_OUTDOOR,Type 1 - Extracting,Donald Harrison,dh.hi.intentions@gmail.com
OCM-MICR-24-000045,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/8/2024 0:00,4/8/2024 0:00,4/8/2026 0:00,OCMMICR-2023-000541,Lily's EDEN GARDEN FARMS Corporation,1821 Waterman Rd,,Delhi,NY,13753,Delaware,Southern Tier,Lilysedengardenfarms.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_MIXED,"Infusing and Blending; and Packaging, Labeling and Branding",Lily Schwartz,flower@lilysedengardenfarms.com
OCM-MICR-24-000030,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/28/2024 0:00,3/28/2024 0:00,3/28/2026 0:00,OCMMICR-2023-000330,Gaea Design and Management LLC,13424 Northern Blvd,,Flushing,NY,11354,Queens,Queens,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Infusing and Blending; and Packaging, Labeling and Branding",Charles Raffa,gaeamgmt@gmail.com
OCM-MICR-24-000026,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/28/2024 0:00,3/28/2024 0:00,3/28/2026 0:00,OCMMICR-2023-000102,Karabina Consulting,420 East Conesville Road,,Gilboa,NY,12076,Schoharie,Mohawk Valley,www.oktogrow.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_OUTDOOR,Type 1 - Extracting,Frederick Ruckel,fred@rucksackny.com
OCM-MICR-24-000013,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/3/2024 0:00,3/3/2024 0:00,3/3/2026 0:00,OCMMICR-2023-000203,"Foggy Hill Farms, LLC",,,,,,Genesee,Finger Lakes,,Active,"Adult-Use Cultivation, Adult-Use Distribution",MICROBUS_INDOOR,,Kirsten Barnstead,kbarnstead@invenergy.com
OCM-MICR-24-000014,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/3/2024 0:00,3/3/2024 0:00,3/3/2026 0:00,OCMMICR-2023-000423,LivelyHarvestNY LLC,,,,,,Delaware,Southern Tier,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 2 - Infusing and Blending,Olivia Maliki,livelyharvest@protonmail.com
OCM-MICR-24-000012,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/3/2024 0:00,3/3/2024 0:00,3/3/2026 0:00,OCMMICR-2023-000453,"Sunwalker Farms, Inc.",,,,,,Ontario,Finger Lakes,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,Type 1 - Extracting,Curteis Boshnack,info@sunwalkerfarms.com
OCM-MICR-24-000008,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,2/28/2024 0:00,2/28/2024 0:00,2/28/2026 0:00,OCMMICR-2023-000401,Swamp Fog Farms Corp.,,,,,,Oswego,Central NY,www.swampfogfarms.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_COMBINATION,Type 1 - Extracting,Brian Searle,info@swampfogfarms.com
OCM-MICR-25-000292,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,8/11/2025 0:00,8/11/2025 0:00,8/11/2027 0:00,OCMMICR-2023-000139,Bhavana Berries LLC,,,,,,Suffolk,Long Island,www.bhavanaberries.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",James Harley,amoshe@bhavanaberries.com
OCM-MICR-25-000277,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,7/1/2025 0:00,7/1/2025 0:00,7/1/2027 0:00,OCMMICR-2023-000313,Puff Plaza LLC,561 Broad St,,Waverly,NY,14892,Tioga,Southern Tier,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,Type 1 - Extracting,Joshua Cassidy,josh@joshcassidy.com
OCM-MICR-25-000265,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,5/21/2025 0:00,5/21/2025 0:00,5/21/2027 0:00,OCMMICR-2023-000323,Patrick S Chesney,,,,,,Allegany,Western NY,www.cannalabs420.com,Non-Operational,Adult-Use Cultivation,MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Patrick Chesney,teri@cannalabs420.com
OCM-MICR-25-000243,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/16/2025 0:00,4/16/2025 0:00,4/16/2027 0:00,OCMMICR-2023-000528,Excelsior Legacy LLC,,,,,,Kings,Brooklyn,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Christian Torres,excelsiorcannabisclub@gmail.com
OCM-PROC-25-000275,Adult-Use Processor License,OCMPROC,Active,LICACT,3/25/2025 0:00,3/25/2025 0:00,3/25/2027 0:00,OCMPROC-2023-000257,"Red Eye Foods and Distributors, LLC",,,,,,Rockland,Mid-Hudson,www.redeyefoods.com,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Alissa Schurr,alissa@schurrlegal.com; Alissa@reiterlawfirm.com  
OCM-PROC-25-000273,Adult-Use Processor License,OCMPROC,Active,LICACT,3/21/2025 0:00,3/21/2025 0:00,3/21/2027 0:00,OCMPROC-2023-000217,"Gnome Nugs, LLC",,,,,,Suffolk,Long Island,,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Christine Apple,kkowitz@eatgron.com
OCM-MICR-25-000226,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,2/19/2025 0:00,2/19/2025 0:00,2/19/2027 0:00,OCMMICR-2023-000601,"JNY GROUP, LLC",1 Messerole Ave,,Brooklyn,NY,11222,Kings,Brooklyn,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,Type 1 - Extracting,Frank Lopa,lopa.frank@gmail.com; frank.lopa@priyanaturals.com
OCM-MICR-25-000222,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,1/15/2025 0:00,1/15/2025 0:00,1/15/2027 0:00,OCMMICR-2023-000005,"Twin Acres Estates, Inc.",8890 Thompson Rd,,Holland Patent,NY,13354,Oneida,Mohawk Valley,twinacresestatesinc.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_OUTDOOR,Type 2 - Infusing and Blending,Brooke Andresen,TwinAcresEstates@outlook.com
OCM-PROC-24-000231,Adult-Use Processor License,OCMPROC,Active,LICACT,12/12/2024 0:00,12/12/2024 0:00,12/12/2026 0:00,OCMPROC-2023-000107,Marvela Industries Inc,,,,,,Suffolk,Long Island,,Non-Operational,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Antonella Velaoras,nella@ervaherb.com
OCM-PROC-24-000134,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 0:00,10/15/2024 0:00,10/15/2026 0:00,OCMPROC-2023-000054,Cannacure NY INC,,,,,,Queens,Queens,,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,Kwok Wu ,andywu910@gmail.com
OCM-PROC-24-000128,Adult-Use Processor License,OCMPROC,Active,LICACT,10/10/2024 0:00,10/10/2024 0:00,10/10/2026 0:00,OCMPROC-2024-000025,"Nutriponics, LLC",,,,,,Delaware,Southern Tier,,Active,Adult-Use Processing,,Type 1 - Extracting,Tak Sato,support@stiiizy.com
OCM-PROC-24-000118,Adult-Use Processor License,OCMPROC,Active,LICACT,9/26/2024 0:00,9/26/2024 0:00,9/26/2026 0:00,OCMPROC-2023-000509,MacGowan Ventures LLC,,,,,,Saratoga,Capital District,,Active,Adult-Use Processing,,Type 1 - Extracting,Matthew Gavigan,mattgavigan@msn.com; mpgavigan@gmail.com; mgavigan@skymintbrands.com
OCM-MICR-24-000099,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/21/2024 0:00,6/21/2024 0:00,6/21/2026 0:00,OCMMICR-2023-000559,INDOGRO LLC,,,,,,Kings,Brooklyn,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 1 - Extracting,Alexis Mena,alexismena@popstar.com; amena718@erols.com
OCM-MICR-24-000047,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,4/8/2024 0:00,4/8/2024 0:00,4/8/2026 0:00,OCMMICR-2023-000424,Oasis Cannabis LLC,,,,,,Niagara,Western NY,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,Type 1 - Extracting,Joseph Irizarri,irizarrijr@gmail.com
OCM-MICR-24-000016,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,3/3/2024 0:00,3/3/2024 0:00,3/3/2026 0:00,OCMMICR-2023-000125,Blue Niagara Farm LLC,,,,,,Niagara,Western NY,blueniagarafarm.com,Active,"Adult-Use Cultivation, Adult-Use Distribution",MICROBUS_INDOOR,,Debra Wrazin,debrapicone@yahoo.com; bludolp25@aol.com; debi6635@localnet.com
